"","Department"
"1","Thatta Campus"
"2","Thatta Campus"
"3","SUC Thatta"
"4","SUC Thatta"
"5","SUC Thatta"
"6","Sindh University Campus at Thatta"
"7","Sindh University Campus at Thatta"
"8","Sindh University Campus at Thatta"
"9","Sindh University Campus at Thatta"
"10","Sindh University Campus at Larkana"
"11","Sindh University Campus at Larkana"
"12","Sindh University Campus at Larkana"
"13","Sindh University Campus at Larkana"
"14","S. U. Campus, Thatta"
"15","S. U. Campus at Thatta"
"16","S. U. Campus at Thatta"
"17","Sndh University Engineering Wing"
"18","Sindh University Engineering Wing,"
"19","Sindh University Engineering Wing"
"20","Sindh University Engineering Wing"
"21","Sindh University Engineering Wing"
"22","Sindh University Engineering Wing"
"23","Sindh University Engineering Wing"
"24","Sindh University Engineering Wing"
"25","Sindh University Engineering Wing"
"26","Sindh University Engineering Wing"
"27","Sindh University Engineering Wing"
"28","Sindh University Engineering Wing"
"29","Sindh University Engineering Wing"
"30","Sindh University Engineering Wing"
"31","Sindh University Engineering Wing"
"32","Sindh University Engineering Wing"
"33","Sindh University Engineering Wing"
"34","Sindh University Engineering Wing"
"35","Sindh University Engineering Wing"
"36","Sindh University Engineering Wing"
"37","Sindh University Engineering Wing"
"38","Sindh University Engineering Wing"
"39","Sindh University Engineering Wing"
"40","Sindh University Engineering Wing"
"41","Sindh University Engineering Wing"
"42","Sindh University Engineering Wing"
"43","Sindh University Engineering Wing"
"44","Sindh University Engineering Wing"
"45","Sindh University Engineering Wing"
"46","Sindh University Engineering Wing"
"47","Sindh University Engineering Wing"
"48","Sindh University Engineering Wing"
"49","Sindh University Engineering Wing"
"50","Sindh University Engineering Wing"
"51","Sindh University Engineering Wing"
"52","Sindh University Engineering Wing"
"53","Sindh University Engineering Wing"
"54","Sindh University Engineering wing"
"55","Sindh University Engineering wing"
"56","Sindh University Engineering Wing"
"57","Sindh University Engineering Wing"
"58","Sindh University Engineering Wing"
"59","Sindh University Engineering Wing"
"60","Sindh University Engineering Wing"
"61","Sindh University Engineering Wing"
"62","Sindh University Engineering Wing"
"63","Sindh University Engineering Wing"
"64","Sindh University Engineering Wing"
"65","Sindh University Engineering Wing"
"66","Sindh University Engineering Wing"
"67","Sindh University Engineering Wing"
"68","Sindh University Engineering Wing"
"69","Sindh University Engineering wing"
"70","Sindh University Engineering Wing"
