Timestamp,The work in the program is too heavy and induces a lot of pressure,The program is effective in enhancing team working abilities.,The program administration is effective in supporting learning.,The program is effective in developing analytical and problem solving skills.,The program is effective in developing independent thinking.,The program is effective in developing written communication skills.,The program is effective in developing planning abilities.,The objectives of the program have been fully achieved,Whether the contents of curriculum are advanced and meet program objectives,Faculty was able to meet the program objectives,Environment was conducive for learning,Whether the Infrastructure of the department was good.,Whether the program was comprised of Co-curricular and extra-curricular activities,Whether scholarships/ grants were available to students in case of hardship,The INTERNSHIP experience is effective in enhancing [Ability to work in teams],The INTERNSHIP experience is effective in enhancing [Independent thinking],The INTERNSHIP experience is effective in enhancing [Appreciation of ethical Values],The INTERNSHIP experience is effective in enhancing [Professional development],The INTERNSHIP experience is effective in enhancing [Time management skills],The INTERNSHIP experience is effective in enhancing [Judgment],The INTERNSHIP experience is effective in enhancing [Discipline],The INTERNSHIP experience is effective in enhancing [The link between theory and  practice]
2018/03/21 8:02:17 PM GMT+5,Uncertain,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Uncertain,Satisfied,Very Satisfied,Uncertain,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2018/03/21 9:02:34 PM GMT+5,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied
2018/03/21 11:59:35 PM GMT+5,Dissatisfied,Dissatisfied,Uncertain,Uncertain,Dissatisfied,Uncertain,Uncertain,Uncertain,Dissatisfied,Dissatisfied,Dissatisfied,Uncertain,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Uncertain,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2018/03/22 6:42:52 AM GMT+5,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Uncertain,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
2018/03/22 10:45:32 AM GMT+5,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Uncertain,Satisfied,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Dissatisfied,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain
2018/03/22 10:52:30 AM GMT+5,Dissatisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Uncertain,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain
2018/03/22 11:35:28 AM GMT+5,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Uncertain,Uncertain,Uncertain,Satisfied,Satisfied,Satisfied,Uncertain,Uncertain,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
2018/03/22 11:42:34 AM GMT+5,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
2018/03/22 1:17:53 PM GMT+5,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
2018/03/22 1:55:00 PM GMT+5,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
