Faculties,Departments,Programs
Natural Science,NCEAC,Analytical chemistry
Natural Science,Anthropology & archaeology,Anthropology & archaeology
Arts,Languages,Arabic
Natural Science,Biochemistry,Biochemistry
Natural Science,IMCS,Bioinformatics
Natural Science,IBGE,Biotechnology
Natural Science,Plant Sciences,Botany
Commerce & BA,IBA,Business Administration
Natural Science,IARSCS,Chemical science
Natural Science,Chemistry,Chemistry
Commerce & BA,Commerce,Commerce
Arts,Arts and Design,Communication Design
Islamic Studies,CRIC,Comparative Religion
Natural Science,IMCS,Computer Science
Social Sciences,Criminology,Criminology
Social Sciences,SDSC,Development Studies
Social Sciences,Economics,Economics
Education,Education,Education
Engg and Tech,IICT,Electronics
Arts,English,English
Arts,English,English  literature
Arts,English,English linguistics
Natural Science,Environmental Science,Environmental Science
Arts,Arts and Design,Fine Art
Natural Science,Fresh water biology & fisheries,Fresh water biology & fisheries
Social Sciences,Gender Studies,Gender Studies
Social Sciences,History,General history
Natural Science,IBGE,Genetics
Natural Science,Geography,Geography
Natural Science,Geology,Geology
Social Sciences,Gender Studies,Home Economics
Engg and Tech,IICT,Information Technology
Natural Science,Chemistry,Inorganic chemistry
Social Sciences,International Relations,International Relations
Islamic Studies,CRIC,Islamic Culture
Law,Law,Law
Social Sciences,Library & Information Science,Library & Information Science
Social Sciences,Media and Communication Studies,Mass Communication
Natural Science,IMCS,Mathematics
Natural Science,Physiology,Medical Laboratory Technology
Natural Science,Microbiology,Microbiology
Islamic Studies,Muslim History,Muslim History
Natural Science,Biochemistry,Nutrition & Food Analysis
Natural Science,Biochemistry,Nutrition & Food Technology
Natural Science,Chemistry,Organic chemistry
Social Sciences,Pakistan Study Centre,Pakistan Studies
Arts,Languages,Persian
Natural Science,Geology,Petroleum & geo science
Pharmacy,Pharmacy,Pharm-D (Doctor of Pharmacy)
Pharmacy,Pharmacy,Pharmaceutics
Arts,Philosophy,Philosophy
Natural Science,Chemistry,Physical chemistry
Natural Science,"Physical Education, Health & Sports Sciences","Physical Education, Health & Sports Sciences"
Natural Science,Physics,Physics
Natural Science,Physiology,Physiology
Social Sciences,Political Science,Political Science
Social Sciences,Psychology,Psychology
Social Sciences,Public Administration ,Public Administration 
Social Sciences,Public Administration ,Public Administration ms
Social Sciences,Rural Development Centre,Rural Development
Arts,Sindhi,Sindhi
Social Sciences,Social work,Social work
Social Sciences,Sociology,Sociology
Engg and Tech,IICT,Software Engineering
Natural Science,Statistics,Statistics
Engg and Tech,IICT,Telecommunication
Arts,Arts and Design,Textile Design
Arts,Urdu,Urdu
Social Sciences,Gender Studies,Women Development Studies
Natural Science,Zoology,Zoology
